block_size,without cache,with cache
8,14.049971,14.049266
16,27.195441,27.365877
32,51.038053,51.305422
64,90.420788,91.624844
128,145.688032,148.699304
256,212.117343,218.506705
512,274.398233,285.776939
1024,322.484071,338.393564
2048,350.945945,372.615251
4096,369.487454,393.088971
8192,373.996225,403.157947
16384,380.565485,405.769387
32768,384.786409,410.947674
65536,387.656525,412.258103
131072,389.228072,413.731786
262144,369.55898,414.985127
524288,386.964653,415.616546
1048576,394.170845,415.301184
2097152,394.162353,414.88573
4194304,394.332683,413.614048
