,Year,Reporter,Import/Export,Partner,Description,Value_USD
62748,2000,Germany,Import,Belgium,plastics and rubber,1986418000.0
22426,2000,USA,Import,Canada,Chemicals and pharmaceuticals,5124265174.0
62610,2000,Germany,Import,Netherlands,Metals,1990925000.0
62630,2000,Iran,Export,"Other Africa, nes","Minerals, stone, and their products",1990185188.0
22302,2000,USA,Import,Mexico,Metals,5145238247.0
85156,2000,China,Export,France,"Machinery, appliances, and tools",1441797557.0
94340,2000,Italy,Import,Russian Federation,Metals,1289318349.766
22439,2000,United Kingdom,Export,Italy,"Machinery, appliances, and tools",5120422865.0
22206,2000,USA,Export,Canada,Unspecified,5162658360.0
62796,2000,USA,Export,Spain,"Machinery, appliances, and tools",1984835780.0
22098,2000,Mexico,Import,USA,Chemicals and pharmaceuticals,5181483463.0
62844,2000,France,Import,Belgium,Chemicals and pharmaceuticals,1983248758.0
81433,2000,Belgium,Export,United Kingdom,Chemicals and pharmaceuticals,1511306619.0
79312,2000,France,Export,China,"Machinery, appliances, and tools",1554080100.0
94381,2000,Brazil,Import,Venezuela,"Minerals, stone, and their products",1288743969.0
94350,2000,United Kingdom,Import,Belgium,Metals,1289174237.0
85197,2000,Japan,Import,Canada,Animal products,1440752124.0
85198,2000,Spain,Export,United Kingdom,"Machinery, appliances, and tools",1440684907.109
62495,2000,United Kingdom,Export,Spain,Vehicles and their parts,1994176332.0
22933,2000,Philippines,Import,Japan,"Machinery, appliances, and tools",5022282364.0
94163,2000,Germany,Import,France,Paper and wood,1291658000.0
62191,2000,Rep. of Korea,Export,China,"Minerals, stone, and their products",2004618232.0
22868,2000,Philippines,Import,USA,"Machinery, appliances, and tools",5032269281.0
22844,2000,Italy,Export,Spain,"Machinery, appliances, and tools",5036670088.828
62229,2000,Italy,Import,Belgium,"Machinery, appliances, and tools",2003528284.341
85256,2000,Singapore,Import,United Kingdom,"Machinery, appliances, and tools",1439708085.0
81422,2000,Switzerland,Import,France,"Machinery, appliances, and tools",1511529990.75
22771,2000,United Kingdom,Import,"Other Asia, nes","Machinery, appliances, and tools",5054018870.0
22759,2000,Switzerland,Import,USA,Metals,5056974808.597
62307,2000,Japan,Import,Rep. of Korea,Metals,2000771997.0
62358,2000,Italy,Import,Iran,"Minerals, stone, and their products",1998869524.523
94233,2000,Australia,Export,Singapore,Metals,1290562914.0
22580,2000,"Other Asia, nes",Export,"China, Hong Kong SAR",Textiles and clothing,5096342539.0
62449,2000,Australia,Export,Rep. of Korea,"Minerals, stone, and their products",1995980847.0
22065,2000,Australia,Export,Japan,"Minerals, stone, and their products",5187065166.0
22938,2000,Belgium,Import,Netherlands,"Machinery, appliances, and tools",5021830448.0
22047,2000,Italy,Import,France,Vehicles and their parts,5189407094.316
22025,2000,Japan,Import,USA,Chemicals and pharmaceuticals,5192579771.0
63367,2000,Germany,Export,Austria,Textiles and clothing,1965780000.0
21459,2000,USA,Export,Mexico,"Minerals, stone, and their products",5302730429.0
63399,2000,Germany,Export,Portugal,"Machinery, appliances, and tools",1965139000.0
2038,2000,USA,Export,Japan,"Machinery, appliances, and tools",27668144067.0
63404,2000,Germany,Export,Sweden,Vehicles and their parts,1965120000.0
21359,2000,Italy,Import,Netherlands,"Machinery, appliances, and tools",5323004619.074
94520,2000,Germany,Export,Italy,Paper and wood,1286868000.0
21232,2000,Netherlands,Import,Japan,"Machinery, appliances, and tools",5347402157.0
21155,2000,Rep. of Korea,Export,"Other Asia, nes","Machinery, appliances, and tools",5361927976.0
